ID,IV
277,3.2470904388358
164,3.79586460988779
567,5.14825134837687
563,5.28796339658668
523,5.51355914127408
219,5.38909141121424
149,5.7707412599738
272,4.81169875512152
159,4.72401216267111
373,4.97923713248604
526,5.14497638902052
561,5.68413427240299
522,4.79891531659919
188,4.81392174461192
93,5.28576015611188
242,3.10049051234735
230,6.37705770993776
330,3.12889777436884
224,4.65818829537492
382,4.66717859404093
464,5.67792490275559
396,5.14583887664073
113,4.3499047309976
150,5.02112300959404
453,5.54322644743968
152,3.13060264213261
353,4.48151083958872
119,4.95176233660387
562,3.1174367051143
533,4.33764181328639
395,4.51633581497577
6,5.35137995157846
341,4.96074398008687
387,NA
489,5.00662661818277
254,4.5349475747951
374,5.30413836525425
419,4.93725387943439
448,6.20330731350411
232,6.18103955051565
455,5.41504685663914
21,7.6843782737789
77,5.00602242289497
447,5.23798145538957
142,4.29725022818222
182,6.53445901480414
402,4.79778264044103
303,4.81654860557649
573,6.61454848528251
525,4.24135472141846
290,4.13930652753902
565,4.99992459543157
488,4.51184661219055
7,5.2344471633712
476,5.63207144724075
191,4.82191050218538
517,5.58359508094255
371,NA
79,7.32283759098196
14,5.62277263494284
421,4.36307551318959
445,5.67621207513839
287,NA
516,3.4370637059209
32,5.64547222621331
385,3.76728954994172
156,5.99618401712983
384,NA
147,4.20965841825954
233,5.64103189170881
265,6.48373518132733
557,6.55410917008392
89,6.152710215118
65,6.16057801195433
531,4.95939877151882
280,3.63482468361802
197,6.06619272248526
346,5.29147256865121
467,4.21213662934445
532,5.4041814421372
491,3.94561881841707
263,3.79505379425959
173,6.16228839660304
30,4.83587867539644
308,5.9507714804034
180,5.78386510791494
490,3.70892099053731
391,5.55465963007149
235,4.7401501836359
207,4.32694747153351
298,5.74749153309907
18,3.89808209890471
355,4.41850498947515
16,NA
378,3.00141903572773
269,4.095267143134
553,3.14494062607107
140,6.16816743007139
86,NA
138,NA
326,5.87798143352987
45,4.37318083644803
442,5.39068259890566
399,3.36123594559636
370,5.52635758754093
410,5.79877151100602
570,5.20030202531523
422,5.89303199736487
328,3.61915385908253
259,4.19521952903087
271,6.0340452895865
498,NA
538,4.92599978713184
449,6.00193328296149
407,3.45549149030909
167,5.60326983879346
203,6.16524459279553
262,6.67256494787238
471,NA
231,3.94244984654567
179,5.53527878942273
53,5.66877657283763
513,3.9987644280006
434,3.59283850366119
130,4.60374859071033
473,6.61741041611177
20,5.92132094121255
360,6.21660572105954
210,5.36475020177756
500,4.75019718217569
220,5.35451652472368
479,5.67792895120955
91,3.42190001535815
441,6.3241132327829
155,6.22725306971527
485,6.63903609400103
169,4.46138308755474
267,4.18301074228628
494,5.85514613818439
459,6.59280221535158
470,NA
70,4.06937924142909
510,6.4226186867918
71,4.81104406323576
451,4.66480163922854
437,4.43039722812757
398,4.5777040101867
428,5.28927198990516
458,NA
381,4.5948233541252
424,3.31341156145226
198,4.20309967057314
554,4.79538704837454
196,3.86089144762277
304,3.03650217122945
3,5.22764530588085
497,5.64965219938031
487,3.45744777234901
62,5.86037119251051
432,4.69860384591384
161,6.27417228692711
171,NA
25,4.56855859445689
208,4.20741052130262
9,5.71375270272802
332,NA
337,5.54059683078176
439,6.76654406291898
37,3.82243088778464
76,4.35872910963872
17,3.68771162211395
392,5.56791529921358
144,6.83158079807319
209,5.83685147269342
465,4.90550206782648
116,6.12304161336967
486,NA
218,5.2307403016545
336,4.489130936854
564,5.31833210712533
431,NA
383,4.89905246648045
413,NA
529,5.16110994530966
27,6.54338388847012
549,6.35550559255842
484,NA
28,NA
134,6.42551609281055
333,5.02600405151088
426,6.53867585004535
537,4.68361847624786
194,NA
166,4.98537242709789
511,5.82475842441404
40,4.37853875841299
83,5.90782015353166
153,4.05947937012963
52,3.29269760761275
174,5.3213639975984
334,5.78284108106714
296,3.71294309570222
204,5.16240140905765
54,6.25400932838847
292,4.48840427538374
258,4.4366798234682
543,4.70637176907384
340,5.7748989164918
306,5.49701901914439
270,4.40679792403533
450,4.86525708719615
320,4.39566206392579
75,4.67288213982993
379,4.96878844492096
193,7.10082370295078
42,4.56577301492252
170,4.29682284025957
311,3.02274578089
195,4.62121073428604
63,4.08108998131457
157,6.06647671219713
568,5.36314214358046
556,5.06301322282834
354,5.21863159285315
314,5.12758106787945
327,NA
132,NA
239,NA
168,4.04230018753554
222,4.2340228078006
294,NA
408,NA
126,5.08197158435267
278,NA
558,4.19907805902396
50,3.68546768255516
393,4.38044955890052
4,4.4965793514727
436,5.03853594362999
493,6.64440658932946
199,5.27441655890238
129,7.4668942916281
348,5.88264958203127
94,4.91976754059071
414,2.95825854852353
36,NA
492,6.02019980813742
102,3.61351807033147
223,3.35021378491447
352,4.0714286183413
339,5.91609522964035
59,3.57214818979503
466,4.92688054326597
307,NA
68,5.10847159465919
400,4.44384475140223
100,4.3966371342714
213,3.60370525606282
571,3.12364442787267
440,3.79592073805151
178,5.70940617276937
289,2.87482082322433
261,5.40205963840779
527,4.42246961151561
388,NA
82,3.86265319397748
252,4.27427974556928
559,7.33601185001892
257,3.76296990219112
66,5.01666239024573
226,4.70457975824774
536,4.38988710526632
114,5.75734610212124
501,4.46072807716311
285,5.21469510138767
499,NA
502,5.37237440898266
124,6.38235150464917
121,4.98708784491838
151,3.49647831776058
569,4.85168330712025
46,5.16681769787561
397,4.48909327484162
253,4.76829635197056
26,4.38921736291834
143,4.60672154158036
548,6.07408499506482
87,3.44475320830317
483,5.10226682418119
364,5.01887545575218
137,5.21055766669788
118,4.96281419561981
365,4.69332052828354
80,4.51727219847515
472,4.22642887920155
158,5.9050597812042
243,NA
256,NA
461,4.82084887516542
260,5.14144861328539
316,4.93873104241298
127,4.89545110151956
211,4.03851181012075
519,4.81406020509634
24,NA
15,NA
462,5.0169773625158
317,NA
205,3.74547669687991
33,4.43610149388485
163,5.43007381810764
101,5.13139324174167
84,6.17658027089623
454,2.88281018233262
418,4.80148556987809
2,4.13075290947589
276,4.91212207361622
19,6.27495628611454
574,4.6208041209012
190,5.99311850168816
547,5.61034833165335
234,4.86058822719355
415,NA
366,3.22529787299219
115,3.13020494922121
310,4.64011015624361
460,4.52766872522483
331,NA
22,5.44197986248914
293,4.74099656710206
300,5.75700439926529
11,5.54910104454928
122,5.94090399133326
31,4.2644278283884
241,3.46148581028066
47,4.42172936606264
12,6.09813880673679
528,5.61904640547676
305,2.85507034352218
162,5.44991658736674
430,NA
319,4.77299622113615
215,6.48481142713073
248,NA
356,5.39331641524462
245,5.33621871815637
301,5.26097421289689
344,NA
412,4.76778073361234
309,4.59009619290481
394,4.28248141895401
475,4.6127847414485
160,4.16777682812749
433,5.0918443751164
518,5.7180293009654
74,NA
478,4.52315709517189
372,4.53161771513231
295,5.29281592298877
468,4.05149579606929
60,NA
247,NA
380,3.81426842202057
225,5.65018421694715
81,6.0934073144596
480,4.62260068782334
229,4.31430301267337
362,5.02469225126979
299,NA
133,4.26736828143971
109,7.48359216866373
406,6.78647395994704
283,6.22874132031308
463,5.16742870786553
560,5.34365111058895
44,7.45136901293798
345,5.17693437025587
90,4.22797794947258
110,5.67707124552818
403,6.11062453392502
444,6.366994043161
540,NA
10,6.5509292473569
546,5.00216569502341
273,NA
386,2.92106926072709
482,5.96414899320648
175,4.68744389687529
92,5.91685610262553
335,4.416173755257
274,5.42171453380865
141,3.29563190488282
227,NA
177,7.02840050812272
181,5.46714816192715
172,5.97995436546021
139,4.82538474349711
401,3.75071463326779
67,4.69657349601064
5,5.55016482902209
244,3.21560528458588
228,4.07985093870519
96,3.60061090115476
435,5.97821466868576
329,6.020764721475
108,6.93203728859475
357,3.62466565959801
520,4.64423018662215
512,3.71031943859314
125,6.46946751441852
505,3.47907499402555
13,5.40394144803787
111,4.9473486617553
507,6.66436822274346
216,3.77035349900113
212,5.02558561376445
347,5.28355754260695
78,5.68502674645929
389,4.45114159154109
443,NA
323,4.59552354551906
508,4.82087615203509
545,NA
509,6.12351409424179
313,7.76345353063042
469,4.56653366818807
72,5.19642312894251
496,5.4361576032878
264,2.72379743969368
338,7.4938140067758
405,4.47254362342414
55,5.86990220050939
238,NA
369,4.58440958092421
481,4.86018423034109
297,5.0588160364904
506,4.77929811307697
566,4.41337068728396
187,NA
136,5.68281134545309
359,5.36768622526751
145,5.3509925661304
185,5.22988063216197
503,4.75105732505256
286,5.43097504589897
146,5.47963179815658
456,NA
39,3.18761521288132
530,4.35312904410357
250,5.15751137685202
504,3.4790651550518
49,4.39470698483235
350,4.58984002531898
202,5.74146858659829
544,5.40130973710325
255,6.81188257477892
409,5.33141885789599
452,7.00423097680445
29,2.52250208370098
555,NA
88,5.8681616896331
376,4.6173761128105
34,3.90669727178566
214,4.83467608809254
322,3.97137628927293
416,3.99145114176354
312,5.78729150660845
427,4.45099242278523
186,5.50012083077901
550,5.09916233527818
446,5.90703563386066
64,NA
282,5.14104406375915
524,5.0759656136071
539,5.13158273759297
361,5.65955540158317
206,3.050909109464
268,5.13148819749009
425,4.71379366403859
105,5.847101334384
73,3.90724033461501
495,5.64699172895977
343,5.13708861280056
201,5.53248803114322
375,5.9499911455038
99,5.23048002576607
541,6.02733841351068
275,6.6305349887357
97,5.2599485492488
324,5.66154024063324
35,3.70397334349538
266,3.85375095719374
534,5.74186714529343
552,4.03497940567368
429,4.76151070289277
192,4.75094050182299
85,5.26190968843899
51,5.95711339629169
135,5.41710312639368
69,3.26285052057097
8,6.06163740274334
240,NA
279,5.09496176068523
367,7.27147042695172
38,6.69351188616703
457,2.43134400836203
249,NA
281,4.70538000406552
236,2.42762258920161
120,3.88236894078567
535,5.49231308927539
474,4.24992540710455
106,4.40590744867463
438,5.5961205743959
351,4.62758178824669
325,3.46364088485255
302,5.13901066806572
515,NA
98,NA
291,5.03754407538722
1,NA
176,5.95376858957913
318,5.00805582141366
377,5.14171023431098
103,NA
217,NA
251,5.39209386630017
514,4.03832963929876
165,5.48213844801275
58,4.50242705840143
237,4.18697751794152
123,3.34982245223364
288,3.32197526100236
551,4.84641499887036
368,2.64089537909264
56,4.84506289479621
184,5.54769658603626
420,3.68560451230157
131,4.02483166081888
189,4.07610412530837
128,4.75512857419043
321,4.93207539210946
23,NA
61,NA
542,5.11730342938081
477,5.25141807213696
349,4.45406974872058
342,4.68272685668847
390,4.92328539666415
95,5.37555010828936
48,6.05188067537527
315,6.10181906085588
363,3.20540984067702
104,4.36972769795248
41,NA
423,5.36507255903536
417,4.37591974740792
221,4.77819398409727
117,4.1369566968552
57,3.63784144006842
521,3.53226020424731
246,4.8187444633912
148,4.9160714005026
284,NA
43,4.88705229397407
183,5.22406561445328
411,4.37788078688811
358,3.73412528438887
107,7.06559815672586
572,NA
200,5.40689286240915
112,6.12989068602405
404,4.78140820590795
154,6.12022416442461
